EPC,Ant,Time,Frequency,RSSI,Phase,Time-int,time,
E2801160600002073A4A0519,1,1970/1/5 18:02:13,913750,-41,160,25573.75154,,913750
E2801160600002073A4A0529,1,1970/1/5 18:02:13,913750,-36,163,25573.75154,,911750
E2801160600002073A4A0529,2,1970/1/5 18:02:13,913750,-62,174,25573.75154,,911750
E2801160600002073A4A0519,2,1970/1/5 18:02:13,913750,-56,19,25573.75154,,915750
E2801160600002073A4A0519,3,1970/1/5 18:02:13,913750,-56,171,25573.75154,,919250
E2801160600002073A4A0529,3,1970/1/5 18:02:13,913750,-69,143,25573.75154,,919250
E200497E93D284B134FFAA12,3,1970/1/5 18:02:13,913750,-79,146,25573.75154,,914250
E2801160600002073A4A0519,1,1970/1/5 18:02:13,913750,-40,160,25573.75154,,914250
E2801160600002073A4A0529,1,1970/1/5 18:02:13,913750,-36,165,25573.75154,,917750
E2801160600002073A4A0539,1,1970/1/5 18:02:13,913750,-70,84,25573.75154,5393.518513,
E2801160600002073A4A0519,2,1970/1/5 18:02:13,913750,-56,19,25573.75154,,917750
E2801160600002073A4A0529,2,1970/1/5 18:02:13,913750,-62,5,25573.75154,,917750
E2801160600002073A4A0529,3,1970/1/5 18:02:13,913750,-69,137,25573.75154,,912250
E2801160600002073A4A0519,3,1970/1/5 18:02:13,913750,-56,171,25573.75154,,912250
E200497E93D284B134FFAA12,3,1970/1/5 18:02:13,913750,-79,146,25573.75154,,912250
E2801160600002073A4A0529,1,1970/1/5 18:02:14,925250,-37,129,25573.75155,,912250
E2801160600002073A4A0519,1,1970/1/5 18:02:14,925250,-41,123,25573.75155,,918250
E2801160600002073A4A0519,2,1970/1/5 18:02:14,925250,-55,67,25573.75155,,918250
E2801160600002073A4A0529,2,1970/1/5 18:02:14,925250,-61,61,25573.75155,,918250
E2801160600002073A4A0519,3,1970/1/5 18:02:14,925250,-53,75,25573.75155,,918250
E2801160600002073A4A0529,3,1970/1/5 18:02:14,925250,-62,53,25573.75155,,913250
E2801160600002073A4A0529,1,1970/1/5 18:02:14,925250,-37,132,25573.75155,,913250
E2801160600002073A4A0519,1,1970/1/5 18:02:14,925250,-41,123,25573.75155,,913250
E2801160600002073A4A0519,2,1970/1/5 18:02:14,925250,-55,64,25573.75155,,913250
E2801160600002073A4A0529,2,1970/1/5 18:02:14,925250,-61,56,25573.75155,,912750
E2801160600002073A4A0529,3,1970/1/5 18:02:14,925250,-62,70,25573.75155,,912750
E2801160600002073A4A0519,3,1970/1/5 18:02:14,925250,-53,84,25573.75155,,912750
E2801160600002073A4A0529,1,1970/1/5 18:02:14,925250,-37,129,25573.75155,,912750
E2801160600002073A4A0519,1,1970/1/5 18:02:14,925250,-41,123,25573.75155,,918750
E2801160600002073A4A0519,2,1970/1/5 18:02:14,925250,-55,67,25573.75155,,918750
E2801160600002073A4A0529,2,1970/1/5 18:02:14,925250,-61,56,25573.75155,,918750
E2801160600002073A4A0519,3,1970/1/5 18:02:14,925250,-53,78,25573.75155,,918750
E2801160600002073A4A0529,3,1970/1/5 18:02:14,925250,-62,70,25573.75155,,915250
E2801160600002073A4A0529,1,1970/1/5 18:02:14,910750,-36,64,25573.75155,,915250
E2801160600002073A4A0519,1,1970/1/5 18:02:14,910750,-41,56,25573.75155,,915250
E2801160600002073A4A0519,2,1970/1/5 18:02:14,910750,-55,112,25573.75155,,915250
E2801160600002073A4A0529,2,1970/1/5 18:02:14,910750,-62,95,25573.75155,,911250
E2801160600002073A4A0529,3,1970/1/5 18:02:14,910750,-70,25,25573.75155,,911250
E2801160600002073A4A0519,3,1970/1/5 18:02:14,910750,-57,81,25573.75155,,911250
E200497E93D284B134FFAA12,3,1970/1/5 18:02:14,910750,-78,146,25573.75155,,911250
E2801160600002073A4A0529,1,1970/1/5 18:02:14,910750,-36,73,25573.75155,,916750
E2801160600002073A4A0519,1,1970/1/5 18:02:14,910750,-41,64,25573.75155,,916750
E2801160600002073A4A0529,2,1970/1/5 18:02:14,910750,-62,87,25573.75155,,916750
E2801160600002073A4A0519,2,1970/1/5 18:02:14,910750,-55,106,25573.75155,,916750
E2801160600002073A4A0529,3,1970/1/5 18:02:14,910750,-70,61,25573.75155,,913750
E2801160600002073A4A0519,3,1970/1/5 18:02:14,910750,-57,90,25573.75155,,913750
E200497E93D284B134FFAA12,3,1970/1/5 18:02:14,910750,-77,104,25573.75155,,913750
E2801160600002073A4A0519,1,1970/1/5 18:02:14,916250,-41,109,25573.75155,,913750
E2801160600002073A4A0529,1,1970/1/5 18:02:14,916250,-37,115,25573.75155,,910750
E2801160600002073A4A0519,2,1970/1/5 18:02:14,916250,-53,132,25573.75155,,910750
E2801160600002073A4A0529,2,1970/1/5 18:02:14,916250,-60,129,25573.75155,,910750
E2801160600002073A4A0529,3,1970/1/5 18:02:14,916250,-65,135,25573.75155,,910750
E2801160600002073A4A0519,3,1970/1/5 18:02:14,916250,-54,129,25573.75155,,910750
E200497E93D284B134FFAA12,3,1970/1/5 18:02:14,916250,-80,56,25573.75155,,910750
E2801160600002073A4A0519,1,1970/1/5 18:02:14,916250,-41,115,25573.75155,,916250
E2801160600002073A4A0529,1,1970/1/5 18:02:14,916250,-37,118,25573.75155,,916250
E2801160600002073A4A0519,2,1970/1/5 18:02:14,916250,-53,140,25573.75155,,916250
E2801160600002073A4A0529,2,1970/1/5 18:02:14,916250,-60,123,25573.75155,,916250
E2801160600002073A4A0519,3,1970/1/5 18:02:14,922750,-54,137,25573.75155,,917250
E2801160600002073A4A0529,3,1970/1/5 18:02:14,922750,-64,140,25573.75155,,917250
E2801160600002073A4A0529,1,1970/1/5 18:02:15,922750,-38,163,25573.75156,,909750
E2801160600002073A4A0519,1,1970/1/5 18:02:15,922750,-42,157,25573.75156,,909750
E2801160600002073A4A0529,2,1970/1/5 18:02:15,922750,-59,120,25573.75156,,909750
E2801160600002073A4A0519,2,1970/1/5 18:02:15,922750,-53,132,25573.75156,,909750
E2801160600002073A4A0529,3,1970/1/5 18:02:15,922750,-64,123,25573.75156,,911750
E2801160600002073A4A0519,3,1970/1/5 18:02:15,922750,-54,132,25573.75156,,911750
E2801160600002073A4A0529,1,1970/1/5 18:02:15,922750,-38,163,25573.75156,,911750
E2801160600002073A4A0519,1,1970/1/5 18:02:15,922750,-42,160,25573.75156,,911750
E2801160600002073A4A0529,2,1970/1/5 18:02:15,922750,-59,129,25573.75156,,919750
E2801160600002073A4A0519,2,1970/1/5 18:02:15,922750,-53,132,25573.75156,,919750
E2801160600002073A4A0519,3,1970/1/5 18:02:15,922750,-54,137,25573.75156,,919750
E2801160600002073A4A0529,3,1970/1/5 18:02:15,922750,-64,132,25573.75156,,914750
E2801160600002073A4A0529,1,1970/1/5 18:02:15,922750,-38,163,25573.75156,,914750
E2801160600002073A4A0519,1,1970/1/5 18:02:15,922750,-42,154,25573.75156,,914750
E2801160600002073A4A0519,2,1970/1/5 18:02:15,922750,-53,135,25573.75156,,914750
E2801160600002073A4A0529,2,1970/1/5 18:02:15,922750,-59,115,25573.75156,,914750
E2801160600002073A4A0529,3,1970/1/5 18:02:15,904250,-73,171,25573.75156,,914750
E2801160600002073A4A0519,3,1970/1/5 18:02:15,904250,-58,47,25573.75156,,915750
E2801160600002073A4A0519,1,1970/1/5 18:02:15,904250,-39,14,25573.75156,,915750
E2801160600002073A4A0529,1,1970/1/5 18:02:15,904250,-36,14,25573.75156,,915750
E2801160600002073A4A0519,2,1970/1/5 18:02:15,904250,-57,87,25573.75156,,915750
E2801160600002073A4A0529,2,1970/1/5 18:02:15,904250,-63,73,25573.75156,,915750
E2801160600002073A4A0529,3,1970/1/5 18:02:15,904250,-72,19,25573.75156,,915750
E2801160600002073A4A0519,3,1970/1/5 18:02:15,904250,-58,56,25573.75156,,910250
E2801160600002073A4A0529,1,1970/1/5 18:02:15,904250,-36,16,25573.75156,,910250
E2801160600002073A4A0519,1,1970/1/5 18:02:15,904250,-39,11,25573.75156,,910250
E2801160600002073A4A0519,2,1970/1/5 18:02:15,904250,-57,84,25573.75156,,910250
E2801160600002073A4A0529,2,1970/1/5 18:02:15,904250,-63,75,25573.75156,,910250
E2801160600002073A4A0529,1,1970/1/5 18:02:15,917250,-37,109,25573.75156,,910250
E2801160600002073A4A0519,1,1970/1/5 18:02:15,917250,-41,98,25573.75156,,914250
E2801160600002073A4A0519,2,1970/1/5 18:02:15,917250,-53,120,25573.75156,,914250
E2801160600002073A4A0529,2,1970/1/5 18:02:15,917250,-60,123,25573.75156,,914250
E2801160600002073A4A0519,3,1970/1/5 18:02:15,917250,-55,95,25573.75156,,914250
E2801160600002073A4A0529,3,1970/1/5 18:02:15,917250,-66,84,25573.75156,,914250
E200497E93D284B134FFAA12,3,1970/1/5 18:02:15,917250,-79,2,25573.75156,,914250
E2801160600002073A4A0539,3,1970/1/5 18:02:15,917250,-79,8,25573.75156,5625.000013,917750
E2801160600002073A4A0529,1,1970/1/5 18:02:15,917250,-37,104,25573.75156,,917750
E2801160600002073A4A0519,1,1970/1/5 18:02:15,917250,-41,106,25573.75156,,917750
E2801160600002073A4A0529,2,1970/1/5 18:02:15,917250,-60,123,25573.75156,,917750
E2801160600002073A4A0519,2,1970/1/5 18:02:15,917250,-53,123,25573.75156,,917750
E2801160600002073A4A0529,3,1970/1/5 18:02:15,917250,-66,106,25573.75156,,917750
E2801160600002073A4A0519,3,1970/1/5 18:02:15,917250,-55,98,25573.75156,,917750
E2801160600002073A4A0539,3,1970/1/5 18:02:15,917250,-79,47,25573.75156,5625.000013,917750
E200497E93D284B134FFAA12,3,1970/1/5 18:02:15,917250,-79,16,25573.75156,,917750
E2801160600002073A4A0519,1,1970/1/5 18:02:16,909750,-39,73,25573.75157,,912250
E2801160600002073A4A0529,1,1970/1/5 18:02:16,909750,-36,81,25573.75157,,912250
E2801160600002073A4A0529,2,1970/1/5 18:02:16,909750,-62,123,25573.75157,,912250
E2801160600002073A4A0519,2,1970/1/5 18:02:16,909750,-55,143,25573.75157,,918250
E2801160600002073A4A0529,3,1970/1/5 18:02:16,909750,-70,53,25573.75157,,918250
E2801160600002073A4A0519,3,1970/1/5 18:02:16,909750,-57,106,25573.75157,,918250
E200497E93D284B134FFAA12,3,1970/1/5 18:02:16,909750,-79,2,25573.75157,,913250
E2801160600002073A4A0519,1,1970/1/5 18:02:16,909750,-39,67,25573.75157,,913250
E2801160600002073A4A0529,1,1970/1/5 18:02:16,909750,-36,78,25573.75157,,913250
E2801160600002073A4A0529,2,1970/1/5 18:02:16,909750,-62,132,25573.75157,,912750
E2801160600002073A4A0519,2,1970/1/5 18:02:16,909750,-55,129,25573.75157,,912750
E2801160600002073A4A0529,3,1970/1/5 18:02:16,909750,-70,78,25573.75157,,912750
E2801160600002073A4A0519,3,1970/1/5 18:02:16,909750,-57,101,25573.75157,,912750
E2801160600002073A4A0519,1,1970/1/5 18:02:16,903750,-39,19,25573.75157,,912750
E2801160600002073A4A0529,1,1970/1/5 18:02:16,903750,-36,22,25573.75157,,912750
E2801160600002073A4A0529,2,1970/1/5 18:02:16,903750,-64,59,25573.75157,,915250
E2801160600002073A4A0519,2,1970/1/5 18:02:16,903750,-57,95,25573.75157,,915250
E2801160600002073A4A0529,3,1970/1/5 18:02:16,903750,-70,2,25573.75157,,915250
E2801160600002073A4A0519,3,1970/1/5 18:02:16,903750,-58,47,25573.75157,,915250
E2801160600002073A4A0519,1,1970/1/5 18:02:16,903750,-39,19,25573.75157,,915250
E2801160600002073A4A0529,1,1970/1/5 18:02:16,903750,-36,19,25573.75157,,915250
E2801160600002073A4A0529,2,1970/1/5 18:02:16,903750,-63,64,25573.75157,,915250
E2801160600002073A4A0519,2,1970/1/5 18:02:16,903750,-57,92,25573.75157,,915250
E2801160600002073A4A0529,3,1970/1/5 18:02:16,903750,-72,171,25573.75157,,911250
E2801160600002073A4A0519,3,1970/1/5 18:02:16,903750,-59,56,25573.75157,,911250
E2801160600002073A4A0519,1,1970/1/5 18:02:16,911750,-40,33,25573.75157,,911250
E2801160600002073A4A0529,1,1970/1/5 18:02:16,911750,-36,39,25573.75157,,911250
E2801160600002073A4A0539,1,1970/1/5 18:02:16,911750,-71,168,25573.75157,5740.740744,
E2801160600002073A4A0519,2,1970/1/5 18:02:16,911750,-57,84,25573.75157,,911250
E2801160600002073A4A0529,2,1970/1/5 18:02:16,911750,-63,75,25573.75157,,911250
E2801160600002073A4A0529,3,1970/1/5 18:02:16,911750,-70,165,25573.75157,,911250
E2801160600002073A4A0519,3,1970/1/5 18:02:16,911750,-57,45,25573.75157,,911250
E200497E93D284B134FFAA12,3,1970/1/5 18:02:16,911750,-77,16,25573.75157,,911250
E2801160600002073A4A0519,1,1970/1/5 18:02:16,911750,-40,39,25573.75157,,911250
E2801160600002073A4A0529,1,1970/1/5 18:02:16,911750,-36,42,25573.75157,,911250
E2801160600002073A4A0539,1,1970/1/5 18:02:16,911750,-70,61,25573.75157,5740.740744,
E2801160600002073A4A0529,2,1970/1/5 18:02:16,911750,-63,59,25573.75157,,916750
E2801160600002073A4A0519,2,1970/1/5 18:02:16,911750,-57,81,25573.75157,,916750
E2801160600002073A4A0529,3,1970/1/5 18:02:16,911750,-70,28,25573.75157,,916750
E2801160600002073A4A0519,3,1970/1/5 18:02:16,911750,-57,39,25573.75157,,916750
E2801160600002073A4A0529,1,1970/1/5 18:02:17,906250,-36,149,25573.75159,,916750
E2801160600002073A4A0519,1,1970/1/5 18:02:17,906250,-39,146,25573.75159,,916750
E2801160600002073A4A0519,2,1970/1/5 18:02:17,906250,-56,36,25573.75159,,916750
E2801160600002073A4A0529,2,1970/1/5 18:02:17,906250,-62,25,25573.75159,,913750
E2801160600002073A4A0519,3,1970/1/5 18:02:17,906250,-57,22,25573.75159,,913750
E2801160600002073A4A0529,3,1970/1/5 18:02:17,906250,-70,137,25573.75159,,913750
E2801160600002073A4A0529,1,1970/1/5 18:02:17,906250,-36,154,25573.75159,,913750
E2801160600002073A4A0519,1,1970/1/5 18:02:17,906250,-39,143,25573.75159,,913750
E2801160600002073A4A0529,2,1970/1/5 18:02:17,906250,-62,28,25573.75159,,913750
E2801160600002073A4A0519,2,1970/1/5 18:02:17,906250,-56,45,25573.75159,,913750
E2801160600002073A4A0519,3,1970/1/5 18:02:17,906250,-57,2,25573.75159,,913750
E2801160600002073A4A0529,3,1970/1/5 18:02:17,906250,-70,123,25573.75159,,910750
E2801160600002073A4A0519,1,1970/1/5 18:02:17,906250,-39,146,25573.75159,,910750
E2801160600002073A4A0529,1,1970/1/5 18:02:17,906250,-36,146,25573.75159,,910750
E20000174016003219404DD0,1,1970/1/5 18:02:17,906250,-67,59,25573.75159,,910750
E2801160600002073A4A0519,2,1970/1/5 18:02:17,906250,-57,39,25573.75159,,910750
E2801160600002073A4A0529,2,1970/1/5 18:02:17,906250,-63,19,25573.75159,,910750
E2801160600002073A4A0519,3,1970/1/5 18:02:17,919750,-55,19,25573.75159,,910750
E2801160600002073A4A0529,3,1970/1/5 18:02:17,919750,-66,19,25573.75159,,910750
E2801160600002073A4A0519,1,1970/1/5 18:02:17,919750,-42,45,25573.75159,,916250
E2801160600002073A4A0529,1,1970/1/5 18:02:17,919750,-38,50,25573.75159,,916250
E2801160600002073A4A0519,2,1970/1/5 18:02:17,919750,-55,42,25573.75159,,916250
E2801160600002073A4A0529,2,1970/1/5 18:02:17,919750,-61,36,25573.75159,,916250
E2801160600002073A4A0519,3,1970/1/5 18:02:17,919750,-56,16,25573.75159,,916250
E2801160600002073A4A0529,3,1970/1/5 18:02:17,919750,-66,16,25573.75159,,916250
E2801160600002073A4A0529,1,1970/1/5 18:02:17,919750,-38,45,25573.75159,,916250
E2801160600002073A4A0519,1,1970/1/5 18:02:17,919750,-43,42,25573.75159,,916250
E2801160600002073A4A0519,2,1970/1/5 18:02:17,919750,-54,42,25573.75159,,917250
E2801160600002073A4A0529,2,1970/1/5 18:02:17,919750,-61,25,25573.75159,,917250
E2801160600002073A4A0529,3,1970/1/5 18:02:17,919750,-67,11,25573.75159,,917250
E2801160600002073A4A0519,1,1970/1/5 18:02:17,927250,-43,73,25573.75159,,917250
E2801160600002073A4A0529,1,1970/1/5 18:02:17,927250,-38,78,25573.75159,,917250
E2801160600002073A4A0519,2,1970/1/5 18:02:17,927250,-55,25,25573.75159,,917250
E2801160600002073A4A0529,2,1970/1/5 18:02:17,927250,-60,16,25573.75159,,917250
E2801160600002073A4A0519,3,1970/1/5 18:02:17,927250,-53,8,25573.75159,,917250
