EPC,Ant,Time,Frequency,RSSI,Phase,,,
E2801160600002073A4A0519,2,1970/1/5 17:51,906750,-57,16,,,
E2801160600002073A4A0519,3,1970/1/5 17:51,906750,-57,143,,,
E2801160600002073A4A0529,3,1970/1/5 17:51,906750,-66,109,,,
E2801160600002073A4A0519,1,1970/1/5 17:51,906750,-37,132,,,
E2801160600002073A4A0529,1,1970/1/5 17:51,906750,-36,135,,,
E2801160600002073A4A0539,1,1970/1/5 17:51,906750,-76,36,,,
E2801160600002073A4A0529,2,1970/1/5 17:51,906750,-63,0,,,
E2801160600002073A4A0539,3,1970/1/5 17:51,917750,-79,14,,,
E200497E93D28EF134FFAA3B,1,1970/1/5 17:51,906750,-75,95,,,
E200497E93D292B134FFAA4A,1,1970/1/5 17:51,906750,-76,118,,,
E200497E93D2893134FFAA24,3,1970/1/5 17:51,916250,-80,140,,,
E200497E93D284B134FFAA12,3,1970/1/5 17:51,918250,-79,171,,,
E2000017221200740820C6D5,1,1970/1/5 17:51,904750,-68,118,,,
E2000017221200910820C6AD,1,1970/1/5 17:52,907750,-74,154,,,
E2801160600002073A4A0539,1,1970/1/5 17:54,912250,-72,33,,,
E2801160600002073A4A0529,1,1970/1/5 17:54,912250,-36,28,,,
E2801160600002073A4A0519,1,1970/1/5 17:54,912250,-38,16,,,
E2801160600002073A4A0519,2,1970/1/5 17:54,912250,-57,47,,,
E2801160600002073A4A0529,2,1970/1/5 17:54,912250,-64,25,,,
E2801160600002073A4A0529,3,1970/1/5 17:54,912250,-69,0,,,
E2801160600002073A4A0519,3,1970/1/5 17:54,912250,-58,22,,,
E2801160600002073A4A0519,1,1970/1/5 17:54,912250,-38,11,,,
E2801160600002073A4A0529,1,1970/1/5 17:54,912250,-36,22,,,
E2801160600002073A4A0539,1,1970/1/5 17:54,912250,-71,47,,,
E2801160600002073A4A0529,2,1970/1/5 17:54,912250,-64,28,,,
E2801160600002073A4A0519,2,1970/1/5 17:54,912250,-57,50,,,
